iter	Passed	Remaining
0	146	145947
1	148	74235
2	150	50055
3	152	37901
4	154	30650
5	157	26107
6	160	22730
7	161	20081
8	163	17993
9	164	16326
10	166	14979
11	168	13848
12	171	13004
13	174	12308
14	176	11582
15	178	10948
16	179	10382
17	181	9889
18	183	9468
19	185	9069
20	187	8758
21	189	8421
22	190	8106
23	192	7818
24	193	7556
25	195	7321
26	197	7112
27	198	6904
28	200	6710
29	201	6529
30	203	6365
31	205	6207
32	206	6056
33	208	5914
34	210	5791
35	211	5664
36	213	5545
37	214	5432
38	216	5327
39	217	5226
40	219	5128
41	220	5034
42	222	4946
43	223	4860
44	225	4783
45	226	4706
46	228	4631
47	229	4559
48	231	4491
49	233	4430
50	236	4395
51	241	4394
52	242	4335
53	244	4277
54	245	4221
55	247	4168
56	248	4116
57	250	4075
58	252	4027
59	255	3998
60	256	3951
61	257	3902
62	259	3855
63	260	3812
64	262	3772
65	264	3748
66	266	3714
67	268	3675
68	269	3640
69	271	3603
70	272	3569
71	274	3536
72	276	3505
73	277	3476
74	279	3452
75	281	3424
76	283	3394
77	284	3365
78	286	3336
79	287	3309
80	289	3281
81	290	3256
82	292	3226
83	293	3204
84	295	3179
85	296	3153
86	298	3130
87	299	3108
88	301	3085
89	302	3063
90	305	3052
91	307	3031
92	310	3028
93	312	3010
94	313	2990
95	315	2970
96	317	2951
97	340	3132
98	347	3161
99	353	3181
100	358	3193
101	364	3204
102	370	3222
103	383	3304
104	390	3327
105	399	3373
106	406	3395
107	416	3436
108	420	3437
109	431	3490
110	436	3496
111	439	3481
112	441	3466
113	445	3462
114	447	3442
115	448	3420
116	450	3397
117	452	3382
118	454	3364
119	456	3344
120	457	3324
121	458	3302
122	460	3285
123	462	3267
124	465	3256
125	467	3241
126	468	3220
127	470	3203
128	471	3186
129	473	3169
130	475	3154
131	478	3143
132	480	3130
133	482	3115
134	483	3099
135	485	3084
136	487	3068
137	488	3053
138	494	3064
139	497	3053
140	499	3041
141	500	3024
142	502	3010
143	504	2998
144	510	3009
145	512	2994
146	513	2980
147	515	2967
148	517	2954
149	519	2942
150	522	2936
151	524	2926
152	526	2913
153	527	2900
154	529	2886
155	531	2874
156	533	2866
157	536	2858
158	539	2852
159	540	2839
160	542	2824
161	543	2812
162	545	2800
163	547	2789
164	549	2780
165	551	2769
166	552	2758
167	554	2747
168	556	2736
169	558	2726
170	560	2715
171	562	2708
172	564	2699
173	566	2687
174	567	2675
175	569	2665
176	571	2656
177	572	2645
178	574	2635
179	576	2627
180	578	2618
181	580	2608
182	581	2597
183	583	2586
184	584	2576
185	586	2566
186	588	2556
187	590	2549
188	592	2544
189	594	2535
190	596	2525
191	598	2516
192	600	2508
193	601	2499
194	604	2495
195	607	2490
196	608	2481
197	610	2472
198	612	2463
199	613	2454
200	615	2446
201	617	2438
202	619	2432
203	621	2424
204	623	2417
205	624	2408
206	626	2399
207	628	2391
208	629	2383
209	632	2378
210	634	2371
211	635	2363
212	637	2354
213	638	2346
214	640	2338
215	642	2331
216	644	2323
217	646	2318
218	648	2311
219	649	2303
220	651	2295
221	652	2287
222	654	2279
223	655	2271
224	657	2264
225	659	2259
226	662	2255
227	663	2248
228	665	2240
229	666	2232
230	668	2225
231	670	2218
232	671	2211
233	676	2214
234	679	2211
235	681	2204
236	682	2197
237	684	2190
238	685	2184
239	692	2193
240	694	2187
241	696	2180
242	697	2173
243	699	2166
244	701	2160
245	704	2158
246	705	2152
247	707	2146
248	709	2139
249	710	2132
250	712	2125
251	713	2118
252	717	2117
253	720	2114
254	721	2107
255	722	2101
256	724	2094
257	726	2088
258	727	2081
259	729	2077
260	733	2075
261	734	2069
262	736	2063
263	737	2057
264	739	2051
265	741	2045
266	742	2039
267	745	2036
268	747	2031
269	749	2025
270	750	2019
271	752	2013
272	753	2007
273	755	2001
274	757	1997
275	759	1993
276	761	1988
277	763	1982
278	764	1976
279	766	1971
280	768	1965
281	770	1962
282	773	1959
283	775	1953
284	776	1948
285	778	1943
286	780	1937
287	781	1932
288	783	1927
289	785	1923
290	787	1919
291	789	1914
292	791	1909
293	792	1904
294	794	1899
295	796	1893
296	797	1888
297	800	1884
298	802	1880
299	803	1875
300	805	1869
301	806	1864
302	808	1858
303	809	1853
304	811	1848
305	812	1843
306	814	1839
307	816	1834
308	818	1829
309	819	1824
310	821	1819
311	822	1814
312	824	1809
313	826	1804
314	828	1800
315	829	1796
316	831	1791
317	833	1786
318	834	1781
319	836	1777
320	837	1772
321	839	1767
322	841	1763
323	843	1759
324	844	1754
325	846	1749
326	848	1746
327	849	1741
328	851	1736
329	853	1731
330	855	1728
331	857	1724
332	858	1719
333	860	1715
334	861	1710
335	862	1705
336	864	1700
337	865	1695
338	867	1691
339	869	1688
340	871	1684
341	873	1679
342	874	1674
343	875	1670
344	877	1666
345	879	1661
346	880	1657
347	883	1655
348	885	1651
349	887	1647
350	888	1643
351	890	1639
352	892	1634
353	893	1630
354	895	1627
355	898	1625
356	899	1620
357	901	1616
358	903	1612
359	904	1608
360	906	1604
361	908	1600
362	910	1598
363	912	1594
364	914	1590
365	915	1586
366	917	1582
367	919	1578
368	920	1574
369	925	1575
370	927	1572
371	928	1567
372	930	1563
373	931	1559
374	933	1555
375	935	1552
376	939	1553
377	941	1549
378	943	1545
379	944	1541
380	946	1537
381	947	1533
382	949	1530
383	952	1527
384	954	1524
385	955	1520
386	957	1516
387	959	1512
388	960	1508
389	962	1505
390	964	1501
391	966	1498
392	968	1495
393	970	1491
394	971	1488
395	973	1484
396	974	1480
397	976	1477
398	978	1473
